"ID";"SoortMisdrijf";"Gemeenten";"Perioden";"Misdrijven_1"
"316";"T001160";"GM0009";"2016JJ00";"     154"
"317";"T001160";"GM0009";"2017HJ01";"      65"
"318";"T001160";"GM1681";"2014JJ00";"     649"
"319";"T001160";"GM1681";"2015HJ01";"     343"
"320";"T001160";"GM1681";"2015JJ00";"     661"
"321";"T001160";"GM1681";"2016HJ01";"     291"
"322";"T001160";"GM1681";"2016JJ00";"     589"
"323";"T001160";"GM1681";"2017HJ01";"     258"
"324";"T001160";"GM0147";"2014JJ00";"     703"
"325";"T001160";"GM0147";"2015HJ01";"     335"
"326";"T001160";"GM0147";"2015JJ00";"     670"
"327";"T001160";"GM0147";"2016HJ01";"     275"
"328";"T001160";"GM0147";"2016JJ00";"     667"
"329";"T001160";"GM0147";"2017HJ01";"     305"
"330";"T001160";"GM0654";"2014JJ00";"     490"
"331";"T001160";"GM0654";"2015HJ01";"     282"
"332";"T001160";"GM0654";"2015JJ00";"     501"
"333";"T001160";"GM0654";"2016HJ01";"     206"
"334";"T001160";"GM0654";"2016JJ00";"     487"
"335";"T001160";"GM0654";"2017HJ01";"     271"
"336";"T001160";"GM0499";"2014JJ00";""
"337";"T001160";"GM0499";"2015HJ01";""
"338";"T001160";"GM0499";"2015JJ00";""
"339";"T001160";"GM0499";"2016HJ01";""
"340";"T001160";"GM0499";"2016JJ00";""
"341";"T001160";"GM0499";"2017HJ01";""
"342";"T001160";"GM0756";"2014JJ00";"    1092"
"343";"T001160";"GM0756";"2015HJ01";"     520"
"344";"T001160";"GM0756";"2015JJ00";"    1086"
"345";"T001160";"GM0756";"2016HJ01";"     539"
"346";"T001160";"GM0756";"2016JJ00";"    1010"
"347";"T001160";"GM0756";"2017HJ01";"     427"
"348";"T001160";"GM0757";"2014JJ00";"    1448"
"349";"T001160";"GM0757";"2015HJ01";"     737"
"350";"T001160";"GM0757";"2015JJ00";"    1428"
"351";"T001160";"GM0757";"2016HJ01";"     726"
"352";"T001160";"GM0757";"2016JJ00";"    1428"
"353";"T001160";"GM0757";"2017HJ01";"     591"
"354";"T001160";"GM0758";"2014JJ00";"   14053"
"355";"T001160";"GM0758";"2015HJ01";"    6599"
"356";"T001160";"GM0758";"2015JJ00";"   12941"
"357";"T001160";"GM0758";"2016HJ01";"    6061"
"358";"T001160";"GM0758";"2016JJ00";"   12577"
"359";"T001160";"GM0758";"2017HJ01";"    5868"
"360";"T001160";"GM0501";"2014JJ00";"     743"
"361";"T001160";"GM0501";"2015HJ01";"     422"
"362";"T001160";"GM0501";"2015JJ00";"     845"
"363";"T001160";"GM0501";"2016HJ01";"     281"
"364";"T001160";"GM0501";"2016JJ00";"     635"
"365";"T001160";"GM0501";"2017HJ01";"     338"
"366";"T001160";"GM1876";"2014JJ00";"     933"
"367";"T001160";"GM1876";"2015HJ01";"     392"
"368";"T001160";"GM1876";"2015JJ00";"     745"
"369";"T001160";"GM1876";"2016HJ01";"     314"
"370";"T001160";"GM1876";"2016JJ00";"     751"
"371";"T001160";"GM1876";"2017HJ01";"     376"
"372";"T001160";"GM0213";"2014JJ00";"     746"
"373";"T001160";"GM0213";"2015HJ01";"     366"
"374";"T001160";"GM0213";"2015JJ00";"     704"
"375";"T001160";"GM0213";"2016HJ01";"     296"
"376";"T001160";"GM0213";"2016JJ00";"     619"
"377";"T001160";"GM0213";"2017HJ01";"     294"
"378";"T001160";"GM0899";"2014JJ00";"    1905"
"379";"T001160";"GM0899";"2015HJ01";"     935"
"380";"T001160";"GM0899";"2015JJ00";"    1800"
"381";"T001160";"GM0899";"2016HJ01";"     894"
"382";"T001160";"GM0899";"2016JJ00";"    1729"
"383";"T001160";"GM0899";"2017HJ01";"     741"
"384";"T001160";"GM0312";"2014JJ00";"     625"
"385";"T001160";"GM0312";"2015HJ01";"     325"
"386";"T001160";"GM0312";"2015JJ00";"     624"
"387";"T001160";"GM0312";"2016HJ01";"     270"
"388";"T001160";"GM0312";"2016JJ00";"     582"
"389";"T001160";"GM0312";"2017HJ01";"     296"
"390";"T001160";"GM0313";"2014JJ00";"     649"
"391";"T001160";"GM0313";"2015HJ01";"     361"
"392";"T001160";"GM0313";"2015JJ00";"     713"
"393";"T001160";"GM0313";"2016HJ01";"     324"
"394";"T001160";"GM0313";"2016JJ00";"     639"
"395";"T001160";"GM0313";"2017HJ01";"     322"
"396";"T001160";"GM0214";"2014JJ00";"     826"
"397";"T001160";"GM0214";"2015HJ01";"     334"
"398";"T001160";"GM0214";"2015JJ00";"     666"
"399";"T001160";"GM0214";"2016HJ01";"     362"
"400";"T001160";"GM0214";"2016JJ00";"     751"
"401";"T001160";"GM0214";"2017HJ01";"     294"
"402";"T001160";"GM0381";"2014JJ00";"    1887"
"403";"T001160";"GM0381";"2015HJ01";"     812"
"404";"T001160";"GM0381";"2015JJ00";"    1718"
"405";"T001160";"GM0381";"2016HJ01";""
"406";"T001160";"GM0381";"2016JJ00";""
"407";"T001160";"GM0381";"2017HJ01";""
"408";"T001160";"GM0502";"2014JJ00";"    3710"
"409";"T001160";"GM0502";"2015HJ01";"    1757"
"410";"T001160";"GM0502";"2015JJ00";"    3486"
"411";"T001160";"GM0502";"2016HJ01";"    1612"
"412";"T001160";"GM0502";"2016JJ00";"    3404"
"413";"T001160";"GM0502";"2017HJ01";"    1539"
"414";"T001160";"GM0383";"2014JJ00";"    1487"
"415";"T001160";"GM0383";"2015HJ01";"     695"
"416";"T001160";"GM0383";"2015JJ00";"    1335"
"417";"T001160";"GM0383";"2016HJ01";"     548"
"418";"T001160";"GM0383";"2016JJ00";"    1233"
"419";"T001160";"GM0383";"2017HJ01";"     535"
"420";"T001160";"GM0109";"2014JJ00";"    1624"
"421";"T001160";"GM0109";"2015HJ01";"     654"
"422";"T001160";"GM0109";"2015JJ00";"    1352"
"423";"T001160";"GM0109";"2016HJ01";"     544"
"424";"T001160";"GM0109";"2016JJ00";"    1281"
"425";"T001160";"GM0109";"2017HJ01";"     641"
"426";"T001160";"GM1706";"2014JJ00";"     891"
"427";"T001160";"GM1706";"2015HJ01";"     408"
"428";"T001160";"GM1706";"2015JJ00";"     798"
"429";"T001160";"GM1706";"2016HJ01";"     432"
"430";"T001160";"GM1706";"2016JJ00";"     866"
"431";"T001160";"GM1706";"2017HJ01";"     367"
"432";"T001160";"GM0611";"2014JJ00";"     396"
"433";"T001160";"GM0611";"2015HJ01";"     224"
"434";"T001160";"GM0611";"2015JJ00";"     386"
"435";"T001160";"GM0611";"2016HJ01";"     196"
"436";"T001160";"GM0611";"2016JJ00";"     342"
"437";"T001160";"GM0611";"2017HJ01";"     159"
"438";"T001160";"GM1684";"2014JJ00";"    1078"
"439";"T001160";"GM1684";"2015HJ01";"     462"
"440";"T001160";"GM1684";"2015JJ00";"     990"
"441";"T001160";"GM1684";"2016HJ01";"     495"
"442";"T001160";"GM1684";"2016JJ00";"     967"
"443";"T001160";"GM1684";"2017HJ01";"     501"
"444";"T001160";"GM0216";"2014JJ00";"    1778"
"445";"T001160";"GM0216";"2015HJ01";"     776"
"446";"T001160";"GM0216";"2015JJ00";"    1535"
"447";"T001160";"GM0216";"2016HJ01";"     849"
"448";"T001160";"GM0216";"2016JJ00";"    1620"
"449";"T001160";"GM0216";"2017HJ01";"     724"
"450";"T001160";"GM0148";"2014JJ00";"     527"
"451";"T001160";"GM0148";"2015HJ01";"     253"
"452";"T001160";"GM0148";"2015JJ00";"     456"
"453";"T001160";"GM0148";"2016HJ01";"     193"
"454";"T001160";"GM0148";"2016JJ00";"     469"
"455";"T001160";"GM0148";"2017HJ01";"     186"
"456";"T001160";"GM1891";"2014JJ00";"     464"
"457";"T001160";"GM1891";"2015HJ01";"     218"
"458";"T001160";"GM1891";"2015JJ00";"     421"
"459";"T001160";"GM1891";"2016HJ01";"     187"
"460";"T001160";"GM1891";"2016JJ00";"     426"
"461";"T001160";"GM1891";"2017HJ01";"     196"
"462";"T001160";"GM0503";"2014JJ00";"    6966"
"463";"T001160";"GM0503";"2015HJ01";"    2987"
"464";"T001160";"GM0503";"2015JJ00";"    6316"
"465";"T001160";"GM0503";"2016HJ01";"    3173"
"466";"T001160";"GM0503";"2016JJ00";"    6484"
"467";"T001160";"GM0503";"2017HJ01";"    3058"
"468";"T001160";"GM0010";"2014JJ00";"     986"
"469";"T001160";"GM0010";"2015HJ01";"     465"
"470";"T001160";"GM0010";"2015JJ00";"     942"
"471";"T001160";"GM0010";"2016HJ01";"     525"
"472";"T001160";"GM0010";"2016JJ00";"    1107"
"473";"T001160";"GM0010";"2017HJ01";"     488"
"474";"T001160";"GM0762";"2014JJ00";"    1473"
"475";"T001160";"GM0762";"2015HJ01";"     738"
"476";"T001160";"GM0762";"2015JJ00";"    1411"
"477";"T001160";"GM0762";"2016HJ01";"     655"
"478";"T001160";"GM0762";"2016JJ00";"    1292"
"479";"T001160";"GM0762";"2017HJ01";"     600"
"480";"T001160";"GM0150";"2014JJ00";"    6334"
"481";"T001160";"GM0150";"2015HJ01";"    2686"
"482";"T001160";"GM0150";"2015JJ00";"    5389"
"483";"T001160";"GM0150";"2016HJ01";"    2712"
"484";"T001160";"GM0150";"2016JJ00";"    5533"
"485";"T001160";"GM0150";"2017HJ01";"    2619"
"486";"T001160";"GM0384";"2014JJ00";"    1661"
"487";"T001160";"GM0384";"2015HJ01";"     824"
"488";"T001160";"GM0384";"2015JJ00";"    1638"
"489";"T001160";"GM0384";"2016HJ01";"     757"
"490";"T001160";"GM0384";"2016JJ00";"    1611"
"491";"T001160";"GM0384";"2017HJ01";"     737"
"492";"T001160";"GM1774";"2014JJ00";"     523"
"493";"T001160";"GM1774";"2015HJ01";"     268"
"494";"T001160";"GM1774";"2015JJ00";"     529"
"495";"T001160";"GM1774";"2016HJ01";"     218"
"496";"T001160";"GM1774";"2016JJ00";"     517"
"497";"T001160";"GM1774";"2017HJ01";"     236"
"498";"T001160";"GM0221";"2014JJ00";"     487"
"499";"T001160";"GM0221";"2015HJ01";"     280"
"500";"T001160";"GM0221";"2015JJ00";"     532"
"501";"T001160";"GM0221";"2016HJ01";"     247"
"502";"T001160";"GM0221";"2016JJ00";"     497"
"503";"T001160";"GM0221";"2017HJ01";"     210"
"504";"T001160";"GM0222";"2014JJ00";"    2816"
"505";"T001160";"GM0222";"2015HJ01";"    1266"
"506";"T001160";"GM0222";"2015JJ00";"    2487"
"507";"T001160";"GM0222";"2016HJ01";"    1119"
"508";"T001160";"GM0222";"2016JJ00";"    2328"
"509";"T001160";"GM0222";"2017HJ01";"    1066"
