Perioden	CBScode	Crimes	CrimeType
2015JJ00	GM1652	1136	all crimes
2016JJ00	GM1652	1081	all crimes
2014JJ00	GM0907	639	all crimes
2015JJ00	GM0907	661	all crimes
2016JJ00	GM0907	552	all crimes
2014JJ00	GM0689	373	all crimes
2015JJ00	GM0689	402	all crimes
2016JJ00	GM0689	385	all crimes
2014JJ00	GM0784	1248	all crimes
2015JJ00	GM0784	1220	all crimes
2016JJ00	GM0784	1188	all crimes
2014JJ00	GM1924	1701	all crimes
2015JJ00	GM1924	1497	all crimes
2016JJ00	GM1924	1440	all crimes
2014JJ00	GM0664	2142	all crimes
2015JJ00	GM0664	1958	all crimes
2016JJ00	GM0664	1998	all crimes
2014JJ00	GM0785	900	all crimes
2015JJ00	GM0785	807	all crimes
2016JJ00	GM0785	772	all crimes
2014JJ00	GM1942		all crimes
2015JJ00	GM1942		all crimes
2016JJ00	GM1942	2937	all crimes
2014JJ00	GM0512	2136	all crimes
2015JJ00	GM0512	2119	all crimes
2016JJ00	GM0512	1997	all crimes
2014JJ00	GM0513	6133	all crimes
2015JJ00	GM0513	4987	all crimes
2016JJ00	GM0513	4863	all crimes
2014JJ00	GM0365		all crimes
2015JJ00	GM0365		all crimes
2016JJ00	GM0365		all crimes
2014JJ00	GM0786	443	all crimes
2015JJ00	GM0786	437	all crimes
2016JJ00	GM0786	491	all crimes
2014JJ00	GM0518	48271	all crimes
2015JJ00	GM0518	44177	all crimes
2016JJ00	GM0518	42588	all crimes
2014JJ00	GM0241	1176	all crimes
2015JJ00	GM0241	1253	all crimes
2016JJ00	GM0241		all crimes
2014JJ00	GM0014	16425	all crimes
2015JJ00	GM0014	15842	all crimes
2016JJ00	GM0014	16326	all crimes
2014JJ00	GM0015	245	all crimes
2015JJ00	GM0015	205	all crimes
2016JJ00	GM0015	205	all crimes
2014JJ00	GM1729	515	all crimes
2015JJ00	GM1729	520	all crimes
2016JJ00	GM1729	531	all crimes
2014JJ00	GM0158	799	all crimes
2015JJ00	GM0158	577	all crimes
2016JJ00	GM0158	605	all crimes
2014JJ00	GM0788	414	all crimes
2015JJ00	GM0788	400	all crimes
2016JJ00	GM0788	338	all crimes
2014JJ00	GM0392	10656	all crimes
2015JJ00	GM0392	9937	all crimes
2016JJ00	GM0392	9712	all crimes
2014JJ00	GM0393	371	all crimes
2015JJ00	GM0393	334	all crimes
2016JJ00	GM0393	359	all crimes
2014JJ00	GM0394	7066	all crimes
2015JJ00	GM0394	6441	all crimes
2016JJ00	GM0394	7296	all crimes
2014JJ00	GM1655	1338	all crimes
2015JJ00	GM1655	1129	all crimes
2016JJ00	GM1655	1121	all crimes
2014JJ00	GM0160	2009	all crimes
2015JJ00	GM0160	1754	all crimes
2016JJ00	GM0160	1638	all crimes
2014JJ00	GM0243	2149	all crimes
2015JJ00	GM0243	2038	all crimes
2016JJ00	GM0243	1945	all crimes
2014JJ00	GM0523	440	all crimes
2015JJ00	GM0523	425	all crimes
2016JJ00	GM0523	444	all crimes
2014JJ00	GM0017	693	all crimes
2015JJ00	GM0017	678	all crimes
2016JJ00	GM0017	687	all crimes
2014JJ00	GM0072	777	all crimes
2015JJ00	GM0072	643	all crimes
2016JJ00	GM0072	635	all crimes
2014JJ00	GM0244	303	all crimes
2015JJ00	GM0244	365	all crimes
2016JJ00	GM0244	332	all crimes
2014JJ00	GM0396	1745	all crimes
2015JJ00	GM0396	1710	all crimes
2016JJ00	GM0396	1355	all crimes
2014JJ00	GM0397	1226	all crimes
2015JJ00	GM0397	1131	all crimes
2016JJ00	GM0397	1079	all crimes
2014JJ00	GM0246	561	all crimes
2015JJ00	GM0246	594	all crimes
2016JJ00	GM0246	462	all crimes
2014JJ00	GM0074	2111	all crimes
2015JJ00	GM0074	1992	all crimes
2016JJ00	GM0074	1895	all crimes
2014JJ00	GM0398	3131	all crimes
2015JJ00	GM0398	2907	all crimes
2016JJ00	GM0398	2793	all crimes
2014JJ00	GM0917	7989	all crimes
2015JJ00	GM0917	7021	all crimes
2016JJ00	GM0917	6886	all crimes
2014JJ00	GM1658	685	all crimes
2015JJ00	GM1658	538	all crimes
2016JJ00	GM1658	570	all crimes
2014JJ00	GM0399	958	all crimes
2015JJ00	GM0399	925	all crimes
2016JJ00	GM0399	877	all crimes
2014JJ00	GM0400	3943	all crimes
2015JJ00	GM0400	3576	all crimes
2016JJ00	GM0400	3877	all crimes
2014JJ00	GM0163	836	all crimes
2015JJ00	GM0163	765	all crimes
2016JJ00	GM0163	760	all crimes
2014JJ00	GM0530	1790	all crimes
2015JJ00	GM0530	1744	all crimes
2016JJ00	GM0530	1667	all crimes
2014JJ00	GM0794	6747	all crimes
2015JJ00	GM0794	6323	all crimes
2016JJ00	GM0794	6034	all crimes
2014JJ00	GM0531	1010	all crimes
2015JJ00	GM0531	932	all crimes
2016JJ00	GM0531	1049	all crimes
2014JJ00	GM0164	4798	all crimes
2015JJ00	GM0164	4610	all crimes
2016JJ00	GM0164	4583	all crimes
2014JJ00	GM0796	11117	all crimes
2015JJ00	GM0796	11045	all crimes
2016JJ00	GM0796	10565	all crimes
2014JJ00	GM0252	666	all crimes
2015JJ00	GM0252	735	all crimes
2016JJ00	GM0252	716	all crimes
2014JJ00	GM0797	1651	all crimes
2015JJ00	GM0797	1586	all crimes
2016JJ00	GM0797	1474	all crimes
2014JJ00	GM0534	754	all crimes
2015JJ00	GM0534	760	all crimes
2016JJ00	GM0534	718	all crimes
2014JJ00	GM0798	745	all crimes
2015JJ00	GM0798	726	all crimes
2016JJ00	GM0798	561	all crimes
2014JJ00	GM0402	5496	all crimes
2015JJ00	GM0402	5197	all crimes
2016JJ00	GM0402	4976	all crimes
2014JJ00	GM1735	1098	all crimes
2015JJ00	GM1735	986	all crimes
2016JJ00	GM1735	1035	all crimes
2014JJ00	GM1911	1362	all crimes
2015JJ00	GM1911	1272	all crimes
2016JJ00	GM1911	1222	all crimes
2014JJ00	GM0118	2751	all crimes
2015JJ00	GM0118	2620	all crimes
