Municipality	CBScode	Province	Population	Population_density(p/km)
Helmond	GM0794	North Brabant	89346	1668
Hertogenbosch !'s-Hertogenbosch	GM0796	North Brabant	143745	1680
Heusden	GM0797	North Brabant	43180	547
Hilvarenbeek	GM0798	North Brabant	15082	159
Loon op Zand	GM0809	North Brabant	23104	460
Mill en Sint Hubert	GM0815	North Brabant	10843	209
Nuenen, Gerwen en Nederwetten	GM0820	North Brabant	22596	669
Oirschot	GM0823	North Brabant	17989	175
Oisterwijk	GM0824	North Brabant	25835	403
Oosterhout	GM0826	North Brabant	53733	756
Oss	GM0828	North Brabant	85039	555
Rucphen	GM0840	North Brabant	22213	347
Schijndel	GM0844	North Brabant	23360	554
Sint-Michielsgestel	GM0845	North Brabant	28186	481
Sint-Oedenrode	GM0846	North Brabant	17944	278
Someren	GM0847	North Brabant	18700	231
Son en Breugel	GM0848	North Brabant	16241	610
Steenbergen	GM0851	North Brabant	23409	159
Waterland	GM0852	North Holland	17154	326
Tilburg	GM0855	North Brabant	210382	1770
Uden	GM0856	North Brabant	40934	609
Valkenswaard	GM0858	North Brabant	30353	557
Veghel	GM0860	North Brabant	37550	480
Veldhoven	GM0861	North Brabant	44136	1383
Vught	GM0865	North Brabant	25626	770
Waalre	GM0866	North Brabant	16804	737
Waalwijk	GM0867	North Brabant	46515	719
Werkendam	GM0870	North Brabant	26400	253
Woensdrecht	GM0873	North Brabant	21654	237
Woudrichem	GM0874	North Brabant	14407	292
Zundert	GM0879	North Brabant	21374	176
Wormerland	GM0880	North Holland	15751	407
Onderbanken	GM0881	Limburg	7882	376
Landgraaf	GM0882	Limburg	37530	1549
Beek	GM0888	Limburg	16268	783
Beesel	GM0889	Limburg	13593	488
Bergen (LI)	GM0893	Limburg	13230	128
Brunssum	GM0899	Limburg	28914	1697
Gennep	GM0907	Limburg	17285	364
Heerlen	GM0917	Limburg	88202	1977
Kerkrade	GM0928	Limburg	46773	2159
Maastricht	GM0935	Limburg	122331	2131
Meerssen	GM0938	Limburg	19259	716
Mook en Middelaar	GM0944	Limburg	7783	453
Nederweert	GM0946	Limburg	16773	167
Nuth	GM0951	Limburg	15577	473
Roermond	GM0957	Limburg	57030	923
Schinnen	GM0962	Limburg	12961	549
Simpelveld	GM0965	Limburg	10844	681
Stein	GM0971	Limburg	25348	1211
Vaals	GM0981	Limburg	9682	409
Venlo	GM0983	Limburg	100381	800
Venray	GM0984	Limburg	43120	263
Voerendaal	GM0986	Limburg	12447	402
Weert	GM0988	Limburg	48727	466
Valkenburg aan de Geul	GM0994	Limburg	16668	461
Lelystad	GM0995	Flevoland	76170	325
Horst aan de Maas	GM1507	Limburg	41718	222
Oude IJsselstreek	GM1509	Gelderland	39614	292
Teylingen	GM1525	South Holland	35723	1250
Utrechtse Heuvelrug	GM1581	Utrecht	47939	365
Oost Gelre	GM1586	Gelderland	29648	274
Koggenland	GM1598	North Holland	22473	278
Lansingerland	GM1621	South Holland	57188	1018
Leudal	GM1640	Limburg	36213	224
Maasgouw	GM1641	Limburg	23888	526
Eemsmond	GM1651	Groningen	15910	86
Gemert-Bakel	GM1652	North Brabant	29354	237
Halderberge	GM1655	North Brabant	29379	393
Heeze-Leende	GM1658	North Brabant	15376	148
Laarbeek	GM1659	North Brabant	21815	390
Marne, DeDe Marne	GM1663	Groningen	10205	62
Reusel-De Mierden	GM1667	North Brabant	12728	162
Roerdalen	GM1669	Limburg	20808	239
Roosendaal	GM1674	North Brabant	76930	728
Schouwen-Duiveland	GM1676	Zeeland	33821	148
Aa en Hunze	GM1680	Drenthe	25243	93
Borger-Odoorn	GM1681	Drenthe	25633	94
Cuijk	GM1684	North Brabant	24780	481
Landerd	GM1685	North Brabant	15262	214
Wolden, DeDe Wolden	GM1690	Drenthe	23592	106
Noord-Beveland	GM1695	Zeeland	7508	88
Wijdemeren	GM1696	North Holland	23170	487
Noordenveld	GM1699	Drenthe	31110	154
Twenterand	GM1700	Overijssel	33939	319
Westerveld	GM1701	Drenthe	18902	69
Sint Anthonis	GM1702	North Brabant	11696	119
Lingewaard	GM1705	Gelderland	45814	735
Cranendonck	GM1706	North Brabant	20388	267
Steenwijkerland	GM1708	Overijssel	43372	150
Moerdijk	GM1709	North Brabant	36775	229
Echt-Susteren	GM1711	Limburg	31940	312
Sluis	GM1714	Zeeland	23795	85
Drimmelen	GM1719	North Brabant	26705	277
Bernheze	GM1721	North Brabant	29703	332
Ferwerderadiel	GM1722	Friesland	8771	90
Alphen-Chaam	GM1723	North Brabant	9712	102
Bergeijk	GM1724	North Brabant	18250	179
Bladel	GM1728	North Brabant	19825	260
Gulpen-Wittem	GM1729	Limburg	14492	198
Tynaarlo	GM1730	Drenthe	32506	225
Midden-Drenthe	GM1731	Drenthe	33368	98
Overbetuwe	GM1734	Gelderland	46653	423
Hof van Twente	GM1735	Overijssel	34987	167
Neder-Betuwe	GM1740	Gelderland	22591	373
Rijssen-Holten	GM1742	Overijssel	37696	399
Geldrop-Mierlo	GM1771	North Brabant	38854	1247
Olst-Wijhe	GM1773	Overijssel	17760	155
Dinkelland	GM1774	Overijssel	25937	148
Westland	GM1783	South Holland	103335	1282
Midden-Delfland	GM1842	South Holland	18449	385
Berkelland	GM1859	Gelderland	44650	174
Bronckhorst	GM1876	Gelderland	36941	132
Sittard-Geleen	GM1883	Limburg	93806	1196
Kaag en Braassem	GM1884	South Holland	25758	406
Dantumadiel	GM1891	Friesland	19035	226
Zuidplas	GM1892	South Holland	40878	685
Peel en Maas	GM1894	Limburg	43298	271
Oldambt	GM1895	Groningen	38558	172
Zwartewaterland	GM1896	Overijssel	22148	267
Súdwest-Fryslân	GM1900	Friesland	84258	183
Bodegraven-Reeuwijk	GM1901	South Holland	32986	434
Eijsden-Margraten	GM1903	Limburg	24980	323
Stichtse Vecht	GM1904	Utrecht	63823	655
Menameradiel	GM1908	Friesland	13653	200
Hollands Kroon	GM1911	North Holland	47501	133
Leidschendam-Voorburg	GM1916	South Holland	73392	2214
Goeree-Overflakkee	GM1924	South Holland	48233	184
Pijnacker-Nootdorp	GM1926	South Holland	51068	1341
Molenwaard	GM1927	South Holland	29043	246
Nissewaard	GM1930	South Holland	85083	1034
Krimpenerwaard	GM1931	South Holland	54287	337
De Fryske Marren	GM1940	Friesland	51223	142
Gooise Meren	GM1942	North Holland	56687	1018
Berg en Dal	GM1945	Gelderland	18956	428
Montferland	GM1955	Gelderland	34985	332
Menterwolde	GM1987	Groningen	12250	154
