	CBScode	Perioden	  HIC: Theft / burglary dwelling, complete	  HIC: Theft / burglary dwelling, attempts	HIC: Violent Crime	HIC: Street Roof	HIC: Robberies	Undermining public order	Threat	Fire / Explosion	Theft of moped, moped, bike	Theft of / from vehicles	Theft of motor vehicles	Theft / burglary companies / institutions	Theft / burglary garage / barn / shed	Drug trafficking	Trespassing	mistreatment	Overt violence (person)	Or destruction. cause damage	Arms Trade	pickpocketing	morals Felony	Municipality	Province	Population	Population_density(p/km)	Municipality Size
541	GM0362	2015JJ00	240.0	127.0	303.0	24.0	7.0	11.0	126.0	9.0	348.0	585.0	84.0	200.0	81.0	51.0	10.0	165.0	12.0	341.0	12.0	154.0	48.0	Amstelveen	North Holland	85135.0	2011.0	Big
542	GM0362	2016JJ00	195.0	95.0	291.0	21.0	5.0	12.0	118.0	12.0	505.0	528.0	97.0	135.0	54.0	56.0	13.0	163.0	10.0	348.0	10.0	140.0	33.0	Amstelveen	North Holland	85135.0	2011.0	Big
543	GM0362	2017JJ00	252.0	108.0	324.0	14.0	6.0	8.0	120.0	4.0	306.0	482.0	126.0	136.0	36.0	28.0	10.0	204.0	0.0	352.0	20.0	150.0	28.0	Amstelveen	North Holland	85135.0	2011.0	Big
544	GM0363	2014JJ00	3637.0	1884.0	7929.0	1719.0	175.0	1054.0	3320.0	210.0	12018.0	9597.0	1859.0	4054.0	1142.0	1568.0	221.0	4315.0	294.0	5092.0	449.0	9071.0	446.0	Amsterdam	North Holland	853312.0	4767.0	Big
545	GM0363	2015JJ00	3523.0	1559.0	7692.0	1452.0	177.0	839.0	3128.0	243.0	12664.0	9965.0	1693.0	3933.0	1067.0	1544.0	239.0	4325.0	239.0	4961.0	505.0	9313.0	483.0	Amsterdam	North Holland	853312.0	4767.0	Big
546	GM0363	2016JJ00	2962.0	1351.0	7645.0	1331.0	176.0	1115.0	3017.0	243.0	11536.0	9155.0	1597.0	3264.0	974.0	1293.0	265.0	4356.0	272.0	4956.0	556.0	8009.0	530.0	Amsterdam	North Holland	853312.0	4767.0	Big
547	GM0363	2017JJ00	3068.0	1582.0	7228.0	1090.0	198.0	1534.0	2816.0	264.0	11010.0	8874.0	2024.0	2820.0	1072.0	1182.0	254.0	4162.0	250.0	5382.0	466.0	7110.0	514.0	Amsterdam	North Holland	853312.0	4767.0	Big
548	GM0365	2014JJ00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0					
549	GM0365	2015JJ00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0					
550	GM0365	2016JJ00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0					
551	GM0365	2017JJ00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0					
552	GM0370	2014JJ00	18.0	8.0	27.0	0.0	0.0	1.0	13.0	1.0	17.0	17.0	2.0	2.0	1.0	2.0	0.0	12.0	2.0	42.0	1.0	1.0	2.0	Beemster	North Holland	8919.0	124.0	Small
