Perioden;Crimes;Municipality;CrimeType
2014JJ00;2816;Doetinchem;all crimes
2015JJ00;2487;Doetinchem;all crimes
2016JJ00;2328;Doetinchem;all crimes
2014JJ00;1179;Dongen;all crimes
2015JJ00;1048;Dongen;all crimes
2016JJ00;838;Dongen;all crimes
2014JJ00;781;Dongeradeel;all crimes
2015JJ00;544;Dongeradeel;all crimes
2016JJ00;582;Dongeradeel;all crimes
2014JJ00;8636;Dordrecht;all crimes
2015JJ00;7736;Dordrecht;all crimes
2016JJ00;7203;Dordrecht;all crimes
2014JJ00;579;Drechterland;all crimes
2015JJ00;590;Drechterland;all crimes
2016JJ00;508;Drechterland;all crimes
2014JJ00;910;Drimmelen;all crimes
2015JJ00;900;Drimmelen;all crimes
2016JJ00;783;Drimmelen;all crimes
2014JJ00;1927;Dronten;all crimes
2015JJ00;1682;Dronten;all crimes
2016JJ00;1690;Dronten;all crimes
2014JJ00;596;Druten;all crimes
2015JJ00;578;Druten;all crimes
2016JJ00;669;Druten;all crimes
2014JJ00;1033;Duiven;all crimes
2015JJ00;888;Duiven;all crimes
2016JJ00;894;Duiven;all crimes
2014JJ00;1441;Echt-Susteren;all crimes
2015JJ00;1360;Echt-Susteren;all crimes
2016JJ00;1247;Echt-Susteren;all crimes
2014JJ00;826;Edam-Volendam;all crimes
2015JJ00;777;Edam-Volendam;all crimes
2016JJ00;785;Edam-Volendam;all crimes
2014JJ00;4813;Ede;all crimes
2015JJ00;4643;Ede;all crimes
2016JJ00;5282;Ede;all crimes
2014JJ00;327;Eemnes;all crimes
2015JJ00;317;Eemnes;all crimes
2016JJ00;335;Eemnes;all crimes
2014JJ00;464;Eemsmond;all crimes
2015JJ00;372;Eemsmond;all crimes
2016JJ00;427;Eemsmond;all crimes
2014JJ00;790;Eersel;all crimes
2015JJ00;786;Eersel;all crimes
2016JJ00;846;Eersel;all crimes
2014JJ00;940;Eijsden-Margraten;all crimes
2015JJ00;762;Eijsden-Margraten;all crimes
2016JJ00;760;Eijsden-Margraten;all crimes
2014JJ00;22510;Eindhoven;all crimes
2015JJ00;21255;Eindhoven;all crimes
2016JJ00;20944;Eindhoven;all crimes
2014JJ00;706;Elburg;all crimes
2015JJ00;708;Elburg;all crimes
2016JJ00;634;Elburg;all crimes
2014JJ00;5752;Emmen;all crimes
2015JJ00;5158;Emmen;all crimes
2016JJ00;4751;Emmen;all crimes
2014JJ00;1108;Enkhuizen;all crimes
2015JJ00;1085;Enkhuizen;all crimes
2016JJ00;962;Enkhuizen;all crimes
2014JJ00;12267;Enschede;all crimes
2015JJ00;10748;Enschede;all crimes
2016JJ00;10945;Enschede;all crimes
2014JJ00;1214;Epe;all crimes
2015JJ00;1126;Epe;all crimes
2016JJ00;1148;Epe;all crimes
2014JJ00;1358;Ermelo;all crimes
2015JJ00;1209;Ermelo;all crimes
2016JJ00;1311;Ermelo;all crimes
2014JJ00;2405;Etten-Leur;all crimes
2015JJ00;2152;Etten-Leur;all crimes
2016JJ00;2120;Etten-Leur;all crimes
2014JJ00;183;Ferwerderadiel;all crimes
2015JJ00;156;Ferwerderadiel;all crimes
2016JJ00;172;Ferwerderadiel;all crimes
2014JJ00;662;Franekeradeel;all crimes
2015JJ00;701;Franekeradeel;all crimes
2016JJ00;610;Franekeradeel;all crimes
2014JJ00;1625;De Friese Meren;all crimes
2015JJ00;1486;De Friese Meren;all crimes
2016JJ00;;De Friese Meren;all crimes
2014JJ00;;De Fryske Marren;all crimes
2015JJ00;;De Fryske Marren;all crimes
2016JJ00;1684;De Fryske Marren;all crimes
2014JJ00;;Gaasterlan-Sleat;all crimes
2015JJ00;;Gaasterlan-Sleat;all crimes
2016JJ00;;Gaasterlan-Sleat;all crimes
2014JJ00;989;Geertruidenberg;all crimes
2015JJ00;957;Geertruidenberg;all crimes
2016JJ00;937;Geertruidenberg;all crimes
2014JJ00;1367;Geldermalsen;all crimes
2015JJ00;1133;Geldermalsen;all crimes
2016JJ00;1156;Geldermalsen;all crimes
2014JJ00;1972;Geldrop-Mierlo;all crimes
2015JJ00;1948;Geldrop-Mierlo;all crimes
2016JJ00;1847;Geldrop-Mierlo;all crimes
2014JJ00;1431;Gemert-Bakel;all crimes
2015JJ00;1136;Gemert-Bakel;all crimes
2016JJ00;1081;Gemert-Bakel;all crimes
2014JJ00;639;Gennep;all crimes
2015JJ00;661;Gennep;all crimes
2016JJ00;552;Gennep;all crimes
2014JJ00;373;Giessenlanden;all crimes
2015JJ00;402;Giessenlanden;all crimes
2016JJ00;385;Giessenlanden;all crimes
2014JJ00;1248;Gilze en Rijen;all crimes
2015JJ00;1220;Gilze en Rijen;all crimes
2016JJ00;1188;Gilze en Rijen;all crimes
2014JJ00;1701;Goeree-Overflakkee;all crimes
2015JJ00;1497;Goeree-Overflakkee;all crimes
2016JJ00;1440;Goeree-Overflakkee;all crimes
2014JJ00;2142;Goes;all crimes
2015JJ00;1958;Goes;all crimes
2016JJ00;1998;Goes;all crimes
2014JJ00;900;Goirle;all crimes
2015JJ00;807;Goirle;all crimes
2016JJ00;772;Goirle;all crimes
2014JJ00;;Gooise Meren;all crimes
2015JJ00;;Gooise Meren;all crimes
2016JJ00;2937;Gooise Meren;all crimes
2014JJ00;2136;Gorinchem;all crimes
2015JJ00;2119;Gorinchem;all crimes
2016JJ00;1997;Gorinchem;all crimes
2014JJ00;6133;Gouda;all crimes
2015JJ00;4987;Gouda;all crimes
2016JJ00;4863;Gouda;all crimes
2014JJ00;;Graft-De Rijp;all crimes
2015JJ00;;Graft-De Rijp;all crimes
2016JJ00;;Graft-De Rijp;all crimes
2014JJ00;443;Grave;all crimes
2015JJ00;437;Grave;all crimes
2016JJ00;491;Grave;all crimes
2014JJ00;48271;s-Gravenhage (gemeente);all crimes
2015JJ00;44177;s-Gravenhage (gemeente);all crimes
2016JJ00;42588;s-Gravenhage (gemeente);all crimes
2014JJ00;1176;Groesbeek;all crimes
2015JJ00;1253;Groesbeek;all crimes
2016JJ00;;Groesbeek;all crimes
2014JJ00;16425;Groningen (gemeente);all crimes
2015JJ00;15842;Groningen (gemeente);all crimes
2016JJ00;16326;Groningen (gemeente);all crimes
2014JJ00;245;Grootegast;all crimes
2015JJ00;205;Grootegast;all crimes
2016JJ00;205;Grootegast;all crimes
2014JJ00;515;Gulpen-Wittem;all crimes
2015JJ00;520;Gulpen-Wittem;all crimes
2016JJ00;531;Gulpen-Wittem;all crimes
2014JJ00;799;Haaksbergen;all crimes
2015JJ00;577;Haaksbergen;all crimes
2016JJ00;605;Haaksbergen;all crimes
2014JJ00;414;Haaren;all crimes
2015JJ00;400;Haaren;all crimes
2016JJ00;338;Haaren;all crimes
2014JJ00;10656;Haarlem;all crimes
2015JJ00;9937;Haarlem;all crimes
2016JJ00;9712;Haarlem;all crimes
2014JJ00;371;Haarlemmerliede en Spaarnwoude;all crimes
2015JJ00;334;Haarlemmerliede en Spaarnwoude;all crimes
2016JJ00;359;Haarlemmerliede en Spaarnwoude;all crimes
2014JJ00;7066;Haarlemmermeer;all crimes
2015JJ00;6441;Haarlemmermeer;all crimes
2016JJ00;7296;Haarlemmermeer;all crimes
2014JJ00;1338;Halderberge;all crimes
2015JJ00;1129;Halderberge;all crimes
2016JJ00;1121;Halderberge;all crimes
2014JJ00;2009;Hardenberg;all crimes
2015JJ00;1754;Hardenberg;all crimes
2016JJ00;1638;Hardenberg;all crimes
2014JJ00;2149;Harderwijk;all crimes
2015JJ00;2038;Harderwijk;all crimes
2016JJ00;1945;Harderwijk;all crimes
2014JJ00;440;Hardinxveld-Giessendam;all crimes
2015JJ00;425;Hardinxveld-Giessendam;all crimes
2016JJ00;444;Hardinxveld-Giessendam;all crimes
2014JJ00;693;Haren;all crimes
2015JJ00;678;Haren;all crimes
2016JJ00;687;Haren;all crimes
2014JJ00;777;Harlingen;all crimes
2015JJ00;643;Harlingen;all crimes
2016JJ00;635;Harlingen;all crimes
2014JJ00;303;Hattem;all crimes
2015JJ00;365;Hattem;all crimes
2016JJ00;332;Hattem;all crimes
2014JJ00;1745;Heemskerk;all crimes
2015JJ00;1710;Heemskerk;all crimes
2016JJ00;1355;Heemskerk;all crimes
2014JJ00;1226;Heemstede;all crimes
2015JJ00;1131;Heemstede;all crimes
2016JJ00;1079;Heemstede;all crimes
2014JJ00;561;Heerde;all crimes
2015JJ00;594;Heerde;all crimes
2016JJ00;462;Heerde;all crimes
2014JJ00;2111;Heerenveen;all crimes
2015JJ00;1992;Heerenveen;all crimes
2016JJ00;1895;Heerenveen;all crimes
2014JJ00;3131;Heerhugowaard;all crimes
2015JJ00;2907;Heerhugowaard;all crimes
2016JJ00;2793;Heerhugowaard;all crimes
2014JJ00;7989;Heerlen;all crimes
2015JJ00;7021;Heerlen;all crimes
2016JJ00;6886;Heerlen;all crimes
2014JJ00;685;Heeze-Leende;all crimes
2015JJ00;538;Heeze-Leende;all crimes
2016JJ00;570;Heeze-Leende;all crimes
2014JJ00;958;Heiloo;all crimes
2015JJ00;925;Heiloo;all crimes
2016JJ00;877;Heiloo;all crimes
2014JJ00;3943;Den Helder;all crimes
2015JJ00;3576;Den Helder;all crimes
2016JJ00;3877;Den Helder;all crimes
2014JJ00;836;Hellendoorn;all crimes
2015JJ00;765;Hellendoorn;all crimes
2016JJ00;760;Hellendoorn;all crimes
2014JJ00;1790;Hellevoetsluis;all crimes
2015JJ00;1744;Hellevoetsluis;all crimes
2016JJ00;1667;Hellevoetsluis;all crimes
2014JJ00;6747;Helmond;all crimes
2015JJ00;6323;Helmond;all crimes
2016JJ00;6034;Helmond;all crimes
2014JJ00;1010;Hendrik-Ido-Ambacht;all crimes
2015JJ00;932;Hendrik-Ido-Ambacht;all crimes
2016JJ00;1049;Hendrik-Ido-Ambacht;all crimes
2014JJ00;4798;Hengelo (O.);all crimes
2015JJ00;4610;Hengelo (O.);all crimes
2016JJ00;4583;Hengelo (O.);all crimes
2014JJ00;11117;s-Hertogenbosch;all crimes
2015JJ00;11045;s-Hertogenbosch;all crimes
2016JJ00;10565;s-Hertogenbosch;all crimes
2014JJ00;666;Heumen;all crimes
2015JJ00;735;Heumen;all crimes
2016JJ00;716;Heumen;all crimes
2014JJ00;1651;Heusden;all crimes
2015JJ00;1586;Heusden;all crimes
2016JJ00;1474;Heusden;all crimes
2014JJ00;754;Hillegom;all crimes
2015JJ00;760;Hillegom;all crimes
2016JJ00;718;Hillegom;all crimes
2014JJ00;745;Hilvarenbeek;all crimes
2015JJ00;726;Hilvarenbeek;all crimes
2016JJ00;561;Hilvarenbeek;all crimes
2014JJ00;5496;Hilversum;all crimes
2015JJ00;5197;Hilversum;all crimes
2016JJ00;4976;Hilversum;all crimes
2014JJ00;1098;Hof van Twente;all crimes
2015JJ00;986;Hof van Twente;all crimes
2016JJ00;1035;Hof van Twente;all crimes
2014JJ00;1362;Hollands Kroon;all crimes
2015JJ00;1272;Hollands Kroon;all crimes
2016JJ00;1222;Hollands Kroon;all crimes
2014JJ00;2751;Hoogeveen;all crimes
2015JJ00;2620;Hoogeveen;all crimes
2016JJ00;2510;Hoogeveen;all crimes
2014JJ00;1643;Hoogezand-Sappemeer;all crimes
2015JJ00;1475;Hoogezand-Sappemeer;all crimes
2016JJ00;1407;Hoogezand-Sappemeer;all crimes
2014JJ00;4977;Hoorn;all crimes
2015JJ00;4675;Hoorn;all crimes
2016JJ00;4334;Hoorn;all crimes
2014JJ00;1476;Horst aan de Maas;all crimes
2015JJ00;1511;Horst aan de Maas;all crimes
2016JJ00;1424;Horst aan de Maas;all crimes
2014JJ00;1880;Houten;all crimes
2015JJ00;1603;Houten;all crimes
2016JJ00;1769;Houten;all crimes
2014JJ00;1721;Huizen;all crimes
2015JJ00;1860;Huizen;all crimes
2016JJ00;1821;Huizen;all crimes
2014JJ00;1127;Hulst;all crimes
2015JJ00;1065;Hulst;all crimes
2016JJ00;902;Hulst;all crimes
2014JJ00;1373;IJsselstein;all crimes
2015JJ00;1307;IJsselstein;all crimes
2016JJ00;1329;IJsselstein;all crimes
2014JJ00;795;Kaag en Braassem;all crimes
2015JJ00;830;Kaag en Braassem;all crimes
2016JJ00;759;Kaag en Braassem;all crimes
2014JJ00;1791;Kampen;all crimes
2015JJ00;1663;Kampen;all crimes
2016JJ00;1819;Kampen;all crimes
2014JJ00;265;Kapelle;all crimes
2015JJ00;257;Kapelle;all crimes
2016JJ00;301;Kapelle;all crimes
2014JJ00;2073;Katwijk;all crimes
2015JJ00;2077;Katwijk;all crimes
2016JJ00;2024;Katwijk;all crimes
2014JJ00;3201;Kerkrade;all crimes
2015JJ00;2985;Kerkrade;all crimes
2016JJ00;2910;Kerkrade;all crimes
2014JJ00;817;Koggenland;all crimes
2015JJ00;773;Koggenland;all crimes
2016JJ00;703;Koggenland;all crimes
2014JJ00;283;Kollumerland en Nieuwkruisland;all crimes
2015JJ00;243;Kollumerland en Nieuwkruisland;all crimes
2016JJ00;262;Kollumerland en Nieuwkruisland;all crimes
2014JJ00;177;Korendijk;all crimes
2015JJ00;181;Korendijk;all crimes
2016JJ00;190;Korendijk;all crimes
2014JJ00;892;Krimpen aan den IJssel;all crimes
2015JJ00;735;Krimpen aan den IJssel;all crimes
2016JJ00;788;Krimpen aan den IJssel;all crimes
2014JJ00;1444;Krimpenerwaard;all crimes
2015JJ00;1474;Krimpenerwaard;all crimes
2016JJ00;1495;Krimpenerwaard;all crimes
2014JJ00;879;Laarbeek;all crimes
2015JJ00;702;Laarbeek;all crimes
2016JJ00;587;Laarbeek;all crimes
2014JJ00;587;Landerd;all crimes
2015JJ00;471;Landerd;all crimes
2016JJ00;491;Landerd;all crimes
2014JJ00;2109;Landgraaf;all crimes
2015JJ00;1889;Landgraaf;all crimes
2016JJ00;1791;Landgraaf;all crimes
2014JJ00;478;Landsmeer;all crimes
2015JJ00;403;Landsmeer;all crimes
2016JJ00;476;Landsmeer;all crimes
2014JJ00;1100;Langedijk;all crimes
2015JJ00;1065;Langedijk;all crimes
2016JJ00;973;Langedijk;all crimes
2014JJ00;2244;Lansingerland;all crimes
2015JJ00;2151;Lansingerland;all crimes
2016JJ00;2274;Lansingerland;all crimes
2014JJ00;552;Laren (NH.);all crimes
2015JJ00;507;Laren (NH.);all crimes
2016JJ00;543;Laren (NH.);all crimes
2014JJ00;682;Leek;all crimes
2015JJ00;585;Leek;all crimes
2016JJ00;627;Leek;all crimes
2014JJ00;851;Leerdam;all crimes
2015JJ00;740;Leerdam;all crimes
2016JJ00;830;Leerdam;all crimes
2014JJ00;8497;Leeuwarden;all crimes
2015JJ00;8012;Leeuwarden;all crimes
2016JJ00;7500;Leeuwarden;all crimes
2014JJ00;313;Leeuwarderadeel;all crimes
2015JJ00;210;Leeuwarderadeel;all crimes
2016JJ00;208;Leeuwarderadeel;all crimes
2014JJ00;8782;Leiden;all crimes
2015JJ00;7810;Leiden;all crimes
2016JJ00;7552;Leiden;all crimes
2014JJ00;997;Leiderdorp;all crimes
2015JJ00;896;Leiderdorp;all crimes
2016JJ00;941;Leiderdorp;all crimes
2014JJ00;3985;Leidschendam-Voorburg;all crimes
2015JJ00;3744;Leidschendam-Voorburg;all crimes
2016JJ00;3543;Leidschendam-Voorburg;all crimes
2014JJ00;4624;Lelystad;all crimes
2015JJ00;4843;Lelystad;all crimes
2016JJ00;4551;Lelystad;all crimes
2014JJ00;;Lemsterland;all crimes
2015JJ00;;Lemsterland;all crimes
2016JJ00;;Lemsterland;all crimes
2014JJ00;1403;Leudal;all crimes
2015JJ00;1288;Leudal;all crimes
2016JJ00;1333;Leudal;all crimes
2014JJ00;944;Leusden;all crimes
2015JJ00;742;Leusden;all crimes
2016JJ00;825;Leusden;all crimes
2014JJ00;325;Lingewaal;all crimes
2015JJ00;305;Lingewaal;all crimes
2016JJ00;324;Lingewaal;all crimes
2014JJ00;1332;Lingewaard;all crimes
2015JJ00;1147;Lingewaard;all crimes
2016JJ00;1272;Lingewaard;all crimes
2014JJ00;908;Lisse;all crimes
2015JJ00;914;Lisse;all crimes
2016JJ00;959;Lisse;all crimes
2014JJ00;259;Littenseradiel;all crimes
2015JJ00;210;Littenseradiel;all crimes
2016JJ00;184;Littenseradiel;all crimes
2014JJ00;1033;Lochem;all crimes
2015JJ00;1016;Lochem;all crimes
2016JJ00;984;Lochem;all crimes
2014JJ00;1434;Loon op Zand;all crimes
2015JJ00;1212;Loon op Zand;all crimes
2016JJ00;1139;Loon op Zand;all crimes
2014JJ00;328;Lopik;all crimes
2015JJ00;257;Lopik;all crimes
2016JJ00;352;Lopik;all crimes
2014JJ00;236;Loppersum;all crimes
2015JJ00;205;Loppersum;all crimes
2016JJ00;225;Loppersum;all crimes
2014JJ00;684;Losser;all crimes
2015JJ00;631;Losser;all crimes
2016JJ00;646;Losser;all crimes
2014JJ00;;Maasdonk;all crimes
2015JJ00;;Maasdonk;all crimes
2016JJ00;;Maasdonk;all crimes
2014JJ00;1015;Maasdriel;all crimes
2015JJ00;895;Maasdriel;all crimes
2016JJ00;876;Maasdriel;all crimes
2014JJ00;898;Maasgouw;all crimes
2015JJ00;732;Maasgouw;all crimes
2016JJ00;796;Maasgouw;all crimes
2014JJ00;1540;Maassluis;all crimes
2015JJ00;1512;Maassluis;all crimes
2016JJ00;1638;Maassluis;all crimes
