	CBScode	Crimes	CrimeType
449	GM0216	724.0	Alle misdrijven
450	GM0148	527.0	Alle misdrijven
451	GM0148	253.0	Alle misdrijven
452	GM0148	456.0	Alle misdrijven
453	GM0148	193.0	Alle misdrijven
454	GM0148	469.0	Alle misdrijven
455	GM0148	186.0	Alle misdrijven
456	GM1891	464.0	Alle misdrijven
457	GM1891	218.0	Alle misdrijven
458	GM1891	421.0	Alle misdrijven
459	GM1891	187.0	Alle misdrijven
460	GM1891	426.0	Alle misdrijven
461	GM1891	196.0	Alle misdrijven
462	GM0503	6966.0	Alle misdrijven
463	GM0503	2987.0	Alle misdrijven
464	GM0503	6316.0	Alle misdrijven
465	GM0503	3173.0	Alle misdrijven
466	GM0503	6484.0	Alle misdrijven
467	GM0503	3058.0	Alle misdrijven
468	GM0010	986.0	Alle misdrijven
469	GM0010	465.0	Alle misdrijven
470	GM0010	942.0	Alle misdrijven
471	GM0010	525.0	Alle misdrijven
472	GM0010	1107.0	Alle misdrijven
473	GM0010	488.0	Alle misdrijven
474	GM0762	1473.0	Alle misdrijven
475	GM0762	738.0	Alle misdrijven
476	GM0762	1411.0	Alle misdrijven
477	GM0762	655.0	Alle misdrijven
478	GM0762	1292.0	Alle misdrijven
479	GM0762	600.0	Alle misdrijven
480	GM0150	6334.0	Alle misdrijven
481	GM0150	2686.0	Alle misdrijven
482	GM0150	5389.0	Alle misdrijven
483	GM0150	2712.0	Alle misdrijven
484	GM0150	5533.0	Alle misdrijven
485	GM0150	2619.0	Alle misdrijven
486	GM0384	1661.0	Alle misdrijven
487	GM0384	824.0	Alle misdrijven
488	GM0384	1638.0	Alle misdrijven
489	GM0384	757.0	Alle misdrijven
490	GM0384	1611.0	Alle misdrijven
491	GM0384	737.0	Alle misdrijven
492	GM1774	523.0	Alle misdrijven
493	GM1774	268.0	Alle misdrijven
494	GM1774	529.0	Alle misdrijven
495	GM1774	218.0	Alle misdrijven
496	GM1774	517.0	Alle misdrijven
497	GM1774	236.0	Alle misdrijven
498	GM0221	487.0	Alle misdrijven
499	GM0221	280.0	Alle misdrijven
500	GM0221	532.0	Alle misdrijven
501	GM0221	247.0	Alle misdrijven
502	GM0221	497.0	Alle misdrijven
503	GM0221	210.0	Alle misdrijven
504	GM0222	2816.0	Alle misdrijven
505	GM0222	1266.0	Alle misdrijven
506	GM0222	2487.0	Alle misdrijven
507	GM0222	1119.0	Alle misdrijven
508	GM0222	2328.0	Alle misdrijven
509	GM0222	1066.0	Alle misdrijven
510	GM0766	1179.0	Alle misdrijven
511	GM0766	553.0	Alle misdrijven
512	GM0766	1048.0	Alle misdrijven
513	GM0766	442.0	Alle misdrijven
514	GM0766	838.0	Alle misdrijven
515	GM0766	337.0	Alle misdrijven
516	GM0058	781.0	Alle misdrijven
517	GM0058	297.0	Alle misdrijven
518	GM0058	544.0	Alle misdrijven
519	GM0058	277.0	Alle misdrijven
520	GM0058	582.0	Alle misdrijven
521	GM0058	264.0	Alle misdrijven
522	GM0505	8636.0	Alle misdrijven
523	GM0505	4019.0	Alle misdrijven
524	GM0505	7736.0	Alle misdrijven
525	GM0505	3420.0	Alle misdrijven
526	GM0505	7203.0	Alle misdrijven
527	GM0505	3455.0	Alle misdrijven
528	GM0498	579.0	Alle misdrijven
529	GM0498	337.0	Alle misdrijven
530	GM0498	590.0	Alle misdrijven
531	GM0498	243.0	Alle misdrijven
532	GM0498	508.0	Alle misdrijven
533	GM0498	203.0	Alle misdrijven
534	GM1719	910.0	Alle misdrijven
535	GM1719	496.0	Alle misdrijven
536	GM1719	900.0	Alle misdrijven
537	GM1719	386.0	Alle misdrijven
538	GM1719	783.0	Alle misdrijven
539	GM1719	417.0	Alle misdrijven
540	GM0303	1927.0	Alle misdrijven
541	GM0303	807.0	Alle misdrijven
542	GM0303	1682.0	Alle misdrijven
543	GM0303	772.0	Alle misdrijven
544	GM0303	1690.0	Alle misdrijven
545	GM0303	758.0	Alle misdrijven
546	GM0225	596.0	Alle misdrijven
547	GM0225	314.0	Alle misdrijven
548	GM0225	578.0	Alle misdrijven
549	GM0225	310.0	Alle misdrijven
550	GM0225	669.0	Alle misdrijven
551	GM0225	329.0	Alle misdrijven
552	GM0226	1033.0	Alle misdrijven
553	GM0226	492.0	Alle misdrijven
554	GM0226	888.0	Alle misdrijven
555	GM0226	393.0	Alle misdrijven
556	GM0226	894.0	Alle misdrijven
557	GM0226	482.0	Alle misdrijven
558	GM1711	1441.0	Alle misdrijven
559	GM1711	735.0	Alle misdrijven
560	GM1711	1360.0	Alle misdrijven
561	GM1711	585.0	Alle misdrijven
562	GM1711	1247.0	Alle misdrijven
563	GM1711	519.0	Alle misdrijven
564	GM0385	826.0	Alle misdrijven
565	GM0385	352.0	Alle misdrijven
566	GM0385	777.0	Alle misdrijven
567	GM0385	356.0	Alle misdrijven
568	GM0385	785.0	Alle misdrijven
569	GM0385	356.0	Alle misdrijven
570	GM0228	4813.0	Alle misdrijven
571	GM0228	2227.0	Alle misdrijven
572	GM0228	4643.0	Alle misdrijven
573	GM0228	2272.0	Alle misdrijven
574	GM0228	5282.0	Alle misdrijven
575	GM0228	2462.0	Alle misdrijven
576	GM0317	327.0	Alle misdrijven
577	GM0317	158.0	Alle misdrijven
578	GM0317	317.0	Alle misdrijven
579	GM0317	178.0	Alle misdrijven
580	GM0317	335.0	Alle misdrijven
581	GM0317	174.0	Alle misdrijven
582	GM1651	464.0	Alle misdrijven
583	GM1651	184.0	Alle misdrijven
584	GM1651	372.0	Alle misdrijven
585	GM1651	174.0	Alle misdrijven
586	GM1651	427.0	Alle misdrijven
587	GM1651	241.0	Alle misdrijven
588	GM0770	790.0	Alle misdrijven
589	GM0770	419.0	Alle misdrijven
590	GM0770	786.0	Alle misdrijven
591	GM0770	372.0	Alle misdrijven
592	GM0770	846.0	Alle misdrijven
593	GM0770	369.0	Alle misdrijven
594	GM1903	940.0	Alle misdrijven
595	GM1903	374.0	Alle misdrijven
596	GM1903	762.0	Alle misdrijven
597	GM1903	364.0	Alle misdrijven
598	GM1903	760.0	Alle misdrijven
599	GM1903	414.0	Alle misdrijven
600	GM0772	22510.0	Alle misdrijven
601	GM0772	10695.0	Alle misdrijven
602	GM0772	21255.0	Alle misdrijven
603	GM0772	10246.0	Alle misdrijven
604	GM0772	20944.0	Alle misdrijven
605	GM0772	9517.0	Alle misdrijven
606	GM0230	706.0	Alle misdrijven
607	GM0230	331.0	Alle misdrijven
608	GM0230	708.0	Alle misdrijven
609	GM0230	293.0	Alle misdrijven
610	GM0230	634.0	Alle misdrijven
611	GM0230	297.0	Alle misdrijven
612	GM0114	5752.0	Alle misdrijven
613	GM0114	2507.0	Alle misdrijven
614	GM0114	5158.0	Alle misdrijven
615	GM0114	2264.0	Alle misdrijven
616	GM0114	4751.0	Alle misdrijven
617	GM0114	2071.0	Alle misdrijven
618	GM0388	1108.0	Alle misdrijven
619	GM0388	545.0	Alle misdrijven
620	GM0388	1085.0	Alle misdrijven
621	GM0388	467.0	Alle misdrijven
622	GM0388	962.0	Alle misdrijven
623	GM0388	368.0	Alle misdrijven
624	GM0153	12267.0	Alle misdrijven
625	GM0153	5499.0	Alle misdrijven
626	GM0153	10748.0	Alle misdrijven
627	GM0153	5496.0	Alle misdrijven
628	GM0153	10945.0	Alle misdrijven
629	GM0153	4790.0	Alle misdrijven
630	GM0232	1214.0	Alle misdrijven
631	GM0232	579.0	Alle misdrijven
632	GM0232	1126.0	Alle misdrijven
633	GM0232	538.0	Alle misdrijven
634	GM0232	1148.0	Alle misdrijven
635	GM0232	527.0	Alle misdrijven
636	GM0233	1358.0	Alle misdrijven
637	GM0233	579.0	Alle misdrijven
638	GM0233	1209.0	Alle misdrijven
639	GM0233	657.0	Alle misdrijven
640	GM0233	1311.0	Alle misdrijven
641	GM0233	578.0	Alle misdrijven
