Periods,BicycleTheftBicycleOwnersOnly_13,BicycleTheft_12,BurglaryOnlyHouseholds_11,Burglary_10,CarTheftCarUsersOnly_15,CarTheft_14,HarassmentByPhone_25,HitAndRunAccidents_24,OtherOffences_26,OtherThefts_19,OtherVandalism_23,Periods,PersonalCharacteristics,PhysicalAbuse_7,Pickpocketing_18,SexualOffencesOnlyWomen_6,SexualOffences_5,TheftFromCarsCarUsersOnly_17,TheftFromDamageToCarCarUsers_22,TheftFromDamageToCar_21,TheftsFromCars_16,Threat_8,TotalThefts_9,TotalVandalism_20,TotalViolentCrimes_4,VictimOfMoreThanOneTypeOfOffence_3,VictimOfTheOneTypeOfOffence_2,VictimsTotal_1,KeyCharacteristics,Title,CategoryGroupID
2000JJ00,7.8,7.1,,1.6,0.4,0.3,5.5,1.9,1.1,4.5,5.3,2000JJ00,16 ,1.5,1.6,2.8,1.4,5.5,17.1,11.1,3.6,4.2,16.7,15.9,6.7,7.5,26.9,34.4,16,Age cat. 1:  25-34 yrs,3
2001JJ00,5.9,5.4,,2.0,0.4,0.2,5.7,1.3,1.0,3.4,5.2,2001JJ00,16 ,1.8,1.3,1.7,1.3,5.5,14.7,9.7,3.6,3.7,14.8,14.4,6.4,7.1,23.3,30.4,16,Age cat. 1:  25-34 yrs,3
2002JJ00,6.2,5.4,,1.6,0.5,0.3,4.9,2.4,0.5,3.7,6.1,2002JJ00,16 ,1.7,1.7,2.2,1.3,5.8,17.0,11.5,3.9,3.8,14.8,17.1,6.0,7.6,26.0,33.6,16,Age cat. 1:  25-34 yrs,3
2003JJ00,5.5,5.3,,1.6,0.3,0.2,4.1,1.6,1.1,3.0,5.0,2003JJ00,16 ,2.6,1.6,2.0,1.2,6.8,16.9,11.5,4.6,5.1,14.6,16.0,7.8,7.7,25.1,32.8,16,Age cat. 1:  25-34 yrs,3
2004JJ00,7.0,6.3,,1.1,0.4,0.3,4.8,1.7,1.1,3.2,6.1,2004JJ00,16 ,1.5,2.0,2.8,1.6,5.8,16.3,10.9,3.9,5.1,14.9,15.9,7.8,8.8,24.5,33.3,16,Age cat. 1:  25-34 yrs,3
1997JJ00,3.6,4.2,,2.2,0.5,0.3,7.8,1.8,0.7,3.2,4.6,1997JJ00,17 ,1.1,2.0,1.9,1.0,3.9,11.5,7.2,2.4,2.6,13.4,11.4,4.5,5.2,21.3,26.5,17,Age cat. 1: 35-44 yrs,3
1998JJ00,5.1,4.7,,1.2,0.8,0.5,6.0,1.3,0.5,3.4,6.4,1998JJ00,17 ,1.5,1.2,1.8,1.1,3.4,13.2,8.5,2.2,3.5,11.9,14.3,5.6,6.1,21.6,27.8,17,Age cat. 1: 35-44 yrs,3
1999JJ00,4.2,3.9,,1.9,0.3,0.2,8.7,1.4,0.7,2.8,5.6,1999JJ00,17 ,1.5,1.2,1.9,1.2,3.4,14.4,9.5,2.3,3.3,11.3,14.8,5.6,6.1,21.7,27.8,17,Age cat. 1: 35-44 yrs,3
2000JJ00,3.6,3.2,,2.3,0.9,0.6,5.2,1.6,0.6,3.0,5.2,2000JJ00,17 ,1.1,1.3,1.5,0.8,3.4,12.9,8.5,2.2,3.2,11.2,13.2,4.7,4.9,21.8,26.8,17,Age cat. 1: 35-44 yrs,3
2001JJ00,3.6,3.2,,1.3,0.2,0.1,5.0,1.4,0.8,2.6,4.8,2001JJ00,17 ,1.5,1.6,2.1,1.2,3.8,12.0,8.2,2.6,3.7,10.7,12.7,5.9,5.1,21.2,26.3,17,Age cat. 1: 35-44 yrs,3
2002JJ00,3.0,2.7,,2.2,0.3,0.2,4.6,1.2,0.7,3.4,5.8,2002JJ00,17 ,1.3,1.6,2.1,1.3,3.7,14.0,9.6,2.6,3.9,11.9,14.8,5.9,6.0,22.1,28.1,17,Age cat. 1: 35-44 yrs,3
2003JJ00,4.5,4.2,,0.7,0.3,0.2,4.5,1.7,0.7,3.1,3.9,2003JJ00,17 ,2.0,1.6,0.9,0.5,3.9,12.3,8.6,2.7,2.7,11.4,12.1,4.8,4.3,22.1,26.4,17,Age cat. 1: 35-44 yrs,3
2004JJ00,3.8,3.6,,1.7,0.4,0.3,5.1,1.0,0.9,3.8,4.9,2004JJ00,17 ,1.6,1.1,1.2,0.7,2.9,13.9,9.8,2.0,2.9,11.6,14.4,4.8,5.1,22.4,27.5,17,Age cat. 1: 35-44 yrs,3
1997JJ00,3.3,3.2,,2.0,0.2,0.1,6.1,0.9,0.4,2.8,3.8,1997JJ00,18 ,0.7,1.5,1.7,0.9,2.4,10.2,6.3,1.5,1.4,10.4,9.8,2.5,2.9,18.5,21.4,18,Age cat. 1: 45-54 yrs,3
