Periods,Age,BeatingOrKicking_4,Firearm_5,HangingStrangulationOrSuffocation_3,HouseOfTheVictimOrOthers_8,LocationForTradeAndServices_9,OtherOrUnknownLocation_11,OtherOrUnknownMethod_7,Periods,PublicRoad_10,Sex,StabbingWeapon_6,TotalVictimsOfMurderAndManslaughter_1,VictimsMurderManslaughterRelative_2,CategoryGroupID,Description,Key,Title
2002JJ00,60400,0.0,2.0,5.0,5.0,1.0,1.0,0.0,2002JJ00,5.0,4000,5.0,12,9.3,,,60400,30 to 40 years
2003JJ00,60400,0.0,9.0,2.0,15.0,0.0,5.0,1.0,2003JJ00,3.0,4000,11.0,23,18.0,,,60400,30 to 40 years
2004JJ00,60400,1.0,6.0,4.0,12.0,0.0,1.0,1.0,2004JJ00,4.0,4000,5.0,17,13.6,,,60400,30 to 40 years
2005JJ00,60400,0.0,4.0,4.0,17.0,1.0,1.0,5.0,2005JJ00,3.0,4000,9.0,22,18.0,,,60400,30 to 40 years
2006JJ00,60400,2.0,4.0,1.0,9.0,3.0,2.0,1.0,2006JJ00,2.0,4000,8.0,16,13.4,,,60400,30 to 40 years
2007JJ00,60400,0.0,3.0,3.0,10.0,1.0,1.0,0.0,2007JJ00,0.0,4000,6.0,12,10.3,,,60400,30 to 40 years
2008JJ00,60400,0.0,2.0,2.0,8.0,0.0,0.0,0.0,2008JJ00,0.0,4000,4.0,8,7.1,,,60400,30 to 40 years
2009JJ00,60400,0.0,1.0,3.0,7.0,0.0,1.0,0.0,2009JJ00,1.0,4000,5.0,9,8.2,,,60400,30 to 40 years
2010JJ00,60400,2.0,2.0,3.0,13.0,2.0,1.0,1.0,2010JJ00,0.0,4000,8.0,16,14.9,,,60400,30 to 40 years
2011JJ00,60400,0.0,1.0,1.0,5.0,0.0,1.0,1.0,2011JJ00,1.0,4000,4.0,7,6.7,,,60400,30 to 40 years
2012JJ00,60400,0.0,3.0,3.0,10.0,0.0,2.0,0.0,2012JJ00,2.0,4000,8.0,14,13.6,,,60400,30 to 40 years
2013JJ00,60400,0.0,1.0,4.0,7.0,0.0,0.0,1.0,2013JJ00,2.0,4000,3.0,9,8.9,,,60400,30 to 40 years
2014JJ00,60400,,,,,,,,2014JJ00,,4000,,5,5.0,,,60400,30 to 40 years
2015JJ00,60400,,,,,,,,2015JJ00,,4000,,4,4.0,,,60400,30 to 40 years
2016JJ00,60400,,,,,,,,2016JJ00,,4000,,10,9.8,,,60400,30 to 40 years
1996JJ00,60500,1.0,2.0,2.0,9.0,0.0,4.0,3.0,1996JJ00,0.0,4000,5.0,13,11.3,,,60500,40 to 50 years
1997JJ00,60500,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1997JJ00,0.0,4000,2.0,3,2.6,,,60500,40 to 50 years
1998JJ00,60500,0.0,1.0,1.0,3.0,0.0,3.0,0.0,1998JJ00,1.0,4000,5.0,7,6.1,,,60500,40 to 50 years
1999JJ00,60500,2.0,0.0,2.0,4.0,0.0,2.0,0.0,1999JJ00,0.0,4000,2.0,6,5.2,,,60500,40 to 50 years
2000JJ00,60500,0.0,0.0,3.0,4.0,0.0,3.0,2.0,2000JJ00,0.0,4000,2.0,7,6.0,,,60500,40 to 50 years
2001JJ00,60500,0.0,1.0,1.0,16.0,0.0,3.0,4.0,2001JJ00,1.0,4000,14.0,20,16.9,,,60500,40 to 50 years
2002JJ00,60500,0.0,3.0,1.0,5.0,0.0,2.0,2.0,2002JJ00,1.0,4000,2.0,8,6.7,,,60500,40 to 50 years
2003JJ00,60500,1.0,1.0,2.0,8.0,0.0,2.0,3.0,2003JJ00,3.0,4000,6.0,13,10.7,,,60500,40 to 50 years
2004JJ00,60500,0.0,1.0,2.0,4.0,1.0,2.0,2.0,2004JJ00,2.0,4000,4.0,9,7.3,,,60500,40 to 50 years
2005JJ00,60500,0.0,2.0,1.0,4.0,0.0,1.0,0.0,2005JJ00,1.0,4000,3.0,6,4.8,,,60500,40 to 50 years
2006JJ00,60500,0.0,1.0,0.0,6.0,0.0,1.0,4.0,2006JJ00,0.0,4000,2.0,7,5.6,,,60500,40 to 50 years
2007JJ00,60500,1.0,1.0,2.0,7.0,0.0,0.0,0.0,2007JJ00,1.0,4000,4.0,8,6.3,,,60500,40 to 50 years
2008JJ00,60500,1.0,1.0,0.0,6.0,0.0,1.0,1.0,2008JJ00,2.0,4000,6.0,9,7.1,,,60500,40 to 50 years
2009JJ00,60500,1.0,1.0,3.0,9.0,0.0,1.0,1.0,2009JJ00,1.0,4000,5.0,11,8.6,,,60500,40 to 50 years
2010JJ00,60500,1.0,2.0,1.0,11.0,0.0,0.0,0.0,2010JJ00,0.0,4000,7.0,11,8.6,,,60500,40 to 50 years
2011JJ00,60500,1.0,2.0,4.0,8.0,1.0,1.0,0.0,2011JJ00,0.0,4000,3.0,10,7.8,,,60500,40 to 50 years
2012JJ00,60500,0.0,2.0,3.0,10.0,0.0,2.0,1.0,2012JJ00,0.0,4000,6.0,12,9.4,,,60500,40 to 50 years
2013JJ00,60500,1.0,0.0,2.0,9.0,2.0,1.0,2.0,2013JJ00,0.0,4000,7.0,12,9.5,,,60500,40 to 50 years
2014JJ00,60500,,,,,,,,2014JJ00,,4000,,3,2.4,,,60500,40 to 50 years
2015JJ00,60500,,,,,,,,2015JJ00,,4000,,10,8.2,,,60500,40 to 50 years
2016JJ00,60500,,,,,,,,2016JJ00,,4000,,5,4.2,,,60500,40 to 50 years
1996JJ00,60600,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1996JJ00,0.0,4000,3.0,3,3.5,,,60600,50 to 60 years
1997JJ00,60600,0.0,3.0,2.0,6.0,0.0,1.0,2.0,1997JJ00,0.0,4000,0.0,7,7.8,,,60600,50 to 60 years
1998JJ00,60600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1998JJ00,0.0,4000,0.0,0,0.0,,,60600,50 to 60 years
1999JJ00,60600,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1999JJ00,0.0,4000,2.0,3,3.1,,,60600,50 to 60 years
2000JJ00,60600,1.0,1.0,3.0,8.0,0.0,1.0,2.0,2000JJ00,0.0,4000,2.0,9,9.0,,,60600,50 to 60 years
2001JJ00,60600,0.0,3.0,0.0,5.0,0.0,0.0,2.0,2001JJ00,2.0,4000,2.0,7,6.8,,,60600,50 to 60 years
2002JJ00,60600,0.0,1.0,0.0,2.0,0.0,2.0,2.0,2002JJ00,0.0,4000,1.0,4,3.8,,,60600,50 to 60 years
2003JJ00,60600,0.0,3.0,2.0,5.0,1.0,5.0,4.0,2003JJ00,0.0,4000,2.0,11,10.2,,,60600,50 to 60 years
2004JJ00,60600,0.0,0.0,3.0,3.0,0.0,2.0,0.0,2004JJ00,0.0,4000,2.0,5,4.6,,,60600,50 to 60 years
2005JJ00,60600,0.0,0.0,4.0,5.0,0.0,1.0,1.0,2005JJ00,0.0,4000,1.0,6,5.4,,,60600,50 to 60 years
2006JJ00,60600,0.0,0.0,2.0,3.0,1.0,2.0,0.0,2006JJ00,0.0,4000,4.0,6,5.4,,,60600,50 to 60 years
2007JJ00,60600,0.0,2.0,1.0,6.0,0.0,0.0,0.0,2007JJ00,0.0,4000,3.0,6,5.4,,,60600,50 to 60 years
2008JJ00,60600,0.0,2.0,0.0,8.0,0.0,0.0,1.0,2008JJ00,1.0,4000,6.0,9,8.1,,,60600,50 to 60 years
2009JJ00,60600,0.0,0.0,0.0,3.0,0.0,1.0,3.0,2009JJ00,2.0,4000,3.0,6,5.4,,,60600,50 to 60 years
2010JJ00,60600,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2010JJ00,2.0,4000,1.0,3,2.7,,,60600,50 to 60 years
2011JJ00,60600,0.0,1.0,0.0,4.0,0.0,0.0,0.0,2011JJ00,0.0,4000,3.0,4,3.5,,,60600,50 to 60 years
2012JJ00,60600,0.0,0.0,1.0,2.0,1.0,0.0,1.0,2012JJ00,0.0,4000,1.0,3,2.6,,,60600,50 to 60 years
2013JJ00,60600,1.0,1.0,3.0,10.0,0.0,0.0,0.0,2013JJ00,0.0,4000,5.0,10,8.5,,,60600,50 to 60 years
2014JJ00,60600,,,,,,,,2014JJ00,,4000,,3,2.5,,,60600,50 to 60 years
2015JJ00,60600,,,,,,,,2015JJ00,,4000,,6,4.9,,,60600,50 to 60 years
2016JJ00,60600,,,,,,,,2016JJ00,,4000,,5,4.1,,,60600,50 to 60 years
1996JJ00,21400,0.0,2.0,2.0,4.0,0.0,5.0,2.0,1996JJ00,0.0,4000,3.0,9,5.7,,,21400,60 years or older
1997JJ00,21400,1.0,0.0,5.0,7.0,0.0,7.0,5.0,1997JJ00,1.0,4000,4.0,15,9.4,,,21400,60 years or older
1998JJ00,21400,1.0,1.0,5.0,5.0,0.0,7.0,3.0,1998JJ00,1.0,4000,3.0,13,8.0,,,21400,60 years or older
1999JJ00,21400,3.0,0.0,3.0,6.0,0.0,2.0,1.0,1999JJ00,3.0,4000,4.0,11,6.7,,,21400,60 years or older
2000JJ00,21400,0.0,1.0,2.0,6.0,0.0,3.0,3.0,2000JJ00,0.0,4000,3.0,9,5.5,,,21400,60 years or older
2001JJ00,21400,1.0,1.0,1.0,4.0,1.0,1.0,1.0,2001JJ00,0.0,4000,2.0,6,3.6,,,21400,60 years or older
2002JJ00,21400,2.0,0.0,1.0,5.0,0.0,1.0,2.0,2002JJ00,1.0,4000,2.0,7,4.2,,,21400,60 years or older
2003JJ00,21400,2.0,0.0,3.0,7.0,0.0,4.0,5.0,2003JJ00,2.0,4000,3.0,13,17.8,,,21400,60 years or older
2004JJ00,21400,2.0,0.0,3.0,8.0,0.0,2.0,6.0,2004JJ00,1.0,4000,0.0,11,6.4,,,21400,60 years or older
2005JJ00,21400,0.0,3.0,0.0,9.0,0.0,0.0,2.0,2005JJ00,0.0,4000,4.0,9,5.2,,,21400,60 years or older
2006JJ00,21400,2.0,1.0,0.0,3.0,0.0,4.0,2.0,2006JJ00,1.0,4000,3.0,8,4.5,,,21400,60 years or older
2007JJ00,21400,1.0,1.0,1.0,3.0,0.0,1.0,0.0,2007JJ00,0.0,4000,1.0,4,2.2,,,21400,60 years or older
2008JJ00,21400,2.0,1.0,2.0,6.0,0.0,0.0,1.0,2008JJ00,0.0,4000,0.0,6,3.2,,,21400,60 years or older
2009JJ00,21400,3.0,2.0,1.0,5.0,0.0,3.0,1.0,2009JJ00,1.0,4000,2.0,9,5.9,,,21400,60 years or older
2010JJ00,21400,3.0,0.0,1.0,14.0,0.0,0.0,2.0,2010JJ00,0.0,4000,8.0,14,7.1,,,21400,60 years or older
2011JJ00,21400,3.0,3.0,0.0,7.0,2.0,1.0,1.0,2011JJ00,0.0,4000,3.0,10,4.9,,,21400,60 years or older
2012JJ00,21400,3.0,1.0,1.0,11.0,0.0,0.0,1.0,2012JJ00,0.0,4000,5.0,11,5.3,,,21400,60 years or older
2013JJ00,21400,0.0,0.0,3.0,10.0,0.0,1.0,3.0,2013JJ00,0.0,4000,5.0,11,5.2,,,21400,60 years or older
2014JJ00,21400,,,,,,,,2014JJ00,,4000,,11,5.1,,,21400,60 years or older
2015JJ00,21400,,,,,,,,2015JJ00,,4000,,13,5.9,,,21400,60 years or older
2016JJ00,21400,,,,,,,,2016JJ00,,4000,,7,3.1,,,21400,60 years or older
