Periods,Age,BeatingOrKicking_4,Firearm_5,HangingStrangulationOrSuffocation_3,HouseOfTheVictimOrOthers_8,LocationForTradeAndServices_9,OtherOrUnknownLocation_11,OtherOrUnknownMethod_7,Periods,PublicRoad_10,Sex,StabbingWeapon_6,TotalVictimsOfMurderAndManslaughter_1,VictimsMurderManslaughterRelative_2,CategoryGroupID,Description,Key,Title
2006JJ00,60300,0.0,6.0,2.0,10.0,1.0,5.0,3.0,2006JJ00,10.0,1100,15.0,26,13.3,,,60300,20 to 30 years
2007JJ00,60300,0.0,13.0,2.0,17.0,4.0,4.0,4.0,2007JJ00,8.0,1100,14.0,33,16.8,,,60300,20 to 30 years
2008JJ00,60300,2.0,11.0,1.0,15.0,1.0,2.0,4.0,2008JJ00,18.0,1100,18.0,36,18.2,,,60300,20 to 30 years
2009JJ00,60300,3.0,19.0,0.0,18.0,1.0,4.0,2.0,2009JJ00,11.0,1100,10.0,34,17.0,,,60300,20 to 30 years
2010JJ00,60300,3.0,8.0,1.0,10.0,3.0,2.0,0.0,2010JJ00,11.0,1100,14.0,26,12.8,,,60300,20 to 30 years
2011JJ00,60300,1.0,21.0,0.0,17.0,5.0,3.0,0.0,2011JJ00,13.0,1100,16.0,38,18.5,,,60300,20 to 30 years
2012JJ00,60300,1.0,11.0,2.0,8.0,2.0,3.0,3.0,2012JJ00,11.0,1100,7.0,24,11.6,,,60300,20 to 30 years
2013JJ00,60300,3.0,10.0,3.0,15.0,2.0,3.0,3.0,2013JJ00,9.0,1100,10.0,29,13.9,,,60300,20 to 30 years
2014JJ00,60300,4.0,15.0,1.0,10.0,3.0,4.0,1.0,2014JJ00,10.0,1100,6.0,27,12.8,,,60300,20 to 30 years
2015JJ00,60300,1.0,15.0,2.0,11.0,0.0,3.0,0.0,2015JJ00,13.0,1100,9.0,27,12.7,,,60300,20 to 30 years
2016JJ00,60300,2.0,9.0,0.0,8.0,2.0,0.0,0.0,2016JJ00,13.0,1100,12.0,23,10.2,,,60300,20 to 30 years
1996JJ00,60400,2.0,24.0,3.0,19.0,4.0,16.0,2.0,1996JJ00,12.0,1100,20.0,51,19.9,,,60400,30 to 40 years
