Perioden,Crimes,Municipality,CrimeType
2014JJ00,414.0,Haaren,Alle misdrijven
2015JJ00,400.0,Haaren,Alle misdrijven
2016JJ00,338.0,Haaren,Alle misdrijven
2014JJ00,10656.0,Haarlem,Alle misdrijven
2015JJ00,9937.0,Haarlem,Alle misdrijven
2016JJ00,9712.0,Haarlem,Alle misdrijven
2014JJ00,371.0,Haarlemmerliede en Spaarnwoude,Alle misdrijven
2015JJ00,334.0,Haarlemmerliede en Spaarnwoude,Alle misdrijven
2016JJ00,359.0,Haarlemmerliede en Spaarnwoude,Alle misdrijven
2014JJ00,7066.0,Haarlemmermeer,Alle misdrijven
2015JJ00,6441.0,Haarlemmermeer,Alle misdrijven
2016JJ00,7296.0,Haarlemmermeer,Alle misdrijven
2014JJ00,1338.0,Halderberge,Alle misdrijven
2015JJ00,1129.0,Halderberge,Alle misdrijven
2016JJ00,1121.0,Halderberge,Alle misdrijven
2014JJ00,2009.0,Hardenberg,Alle misdrijven
2015JJ00,1754.0,Hardenberg,Alle misdrijven
2016JJ00,1638.0,Hardenberg,Alle misdrijven
2014JJ00,2149.0,Harderwijk,Alle misdrijven
2015JJ00,2038.0,Harderwijk,Alle misdrijven
2016JJ00,1945.0,Harderwijk,Alle misdrijven
2014JJ00,440.0,Hardinxveld-Giessendam,Alle misdrijven
2015JJ00,425.0,Hardinxveld-Giessendam,Alle misdrijven
2016JJ00,444.0,Hardinxveld-Giessendam,Alle misdrijven
2014JJ00,693.0,Haren,Alle misdrijven
2015JJ00,678.0,Haren,Alle misdrijven
2016JJ00,687.0,Haren,Alle misdrijven
2014JJ00,777.0,Harlingen,Alle misdrijven
2015JJ00,643.0,Harlingen,Alle misdrijven
2016JJ00,635.0,Harlingen,Alle misdrijven
2014JJ00,303.0,Hattem,Alle misdrijven
2015JJ00,365.0,Hattem,Alle misdrijven
2016JJ00,332.0,Hattem,Alle misdrijven
2014JJ00,1745.0,Heemskerk,Alle misdrijven
2015JJ00,1710.0,Heemskerk,Alle misdrijven
2016JJ00,1355.0,Heemskerk,Alle misdrijven
2014JJ00,1226.0,Heemstede,Alle misdrijven
2015JJ00,1131.0,Heemstede,Alle misdrijven
2016JJ00,1079.0,Heemstede,Alle misdrijven
2014JJ00,561.0,Heerde,Alle misdrijven
2015JJ00,594.0,Heerde,Alle misdrijven
2016JJ00,462.0,Heerde,Alle misdrijven
2014JJ00,2111.0,Heerenveen,Alle misdrijven
2015JJ00,1992.0,Heerenveen,Alle misdrijven
2016JJ00,1895.0,Heerenveen,Alle misdrijven
2014JJ00,3131.0,Heerhugowaard,Alle misdrijven
2015JJ00,2907.0,Heerhugowaard,Alle misdrijven
2016JJ00,2793.0,Heerhugowaard,Alle misdrijven
2014JJ00,7989.0,Heerlen,Alle misdrijven
2015JJ00,7021.0,Heerlen,Alle misdrijven
2016JJ00,6886.0,Heerlen,Alle misdrijven
2014JJ00,685.0,Heeze-Leende,Alle misdrijven
2015JJ00,538.0,Heeze-Leende,Alle misdrijven
2016JJ00,570.0,Heeze-Leende,Alle misdrijven
2014JJ00,958.0,Heiloo,Alle misdrijven
2015JJ00,925.0,Heiloo,Alle misdrijven
2016JJ00,877.0,Heiloo,Alle misdrijven
2014JJ00,3943.0,Den Helder,Alle misdrijven
2015JJ00,3576.0,Den Helder,Alle misdrijven
2016JJ00,3877.0,Den Helder,Alle misdrijven
2014JJ00,836.0,Hellendoorn,Alle misdrijven
2015JJ00,765.0,Hellendoorn,Alle misdrijven
2016JJ00,760.0,Hellendoorn,Alle misdrijven
2014JJ00,1790.0,Hellevoetsluis,Alle misdrijven
2015JJ00,1744.0,Hellevoetsluis,Alle misdrijven
2016JJ00,1667.0,Hellevoetsluis,Alle misdrijven
2014JJ00,6747.0,Helmond,Alle misdrijven
2015JJ00,6323.0,Helmond,Alle misdrijven
2016JJ00,6034.0,Helmond,Alle misdrijven
2014JJ00,1010.0,Hendrik-Ido-Ambacht,Alle misdrijven
2015JJ00,932.0,Hendrik-Ido-Ambacht,Alle misdrijven
2016JJ00,1049.0,Hendrik-Ido-Ambacht,Alle misdrijven
2014JJ00,4798.0,Hengelo (O.),Alle misdrijven
2015JJ00,4610.0,Hengelo (O.),Alle misdrijven
2016JJ00,4583.0,Hengelo (O.),Alle misdrijven
2014JJ00,11117.0,'s-Hertogenbosch,Alle misdrijven
2015JJ00,11045.0,'s-Hertogenbosch,Alle misdrijven
2016JJ00,10565.0,'s-Hertogenbosch,Alle misdrijven
2014JJ00,666.0,Heumen,Alle misdrijven
2015JJ00,735.0,Heumen,Alle misdrijven
2016JJ00,716.0,Heumen,Alle misdrijven
2014JJ00,1651.0,Heusden,Alle misdrijven
2015JJ00,1586.0,Heusden,Alle misdrijven
2016JJ00,1474.0,Heusden,Alle misdrijven
2014JJ00,754.0,Hillegom,Alle misdrijven
2015JJ00,760.0,Hillegom,Alle misdrijven
2016JJ00,718.0,Hillegom,Alle misdrijven
2014JJ00,745.0,Hilvarenbeek,Alle misdrijven
2015JJ00,726.0,Hilvarenbeek,Alle misdrijven
2016JJ00,561.0,Hilvarenbeek,Alle misdrijven
2014JJ00,5496.0,Hilversum,Alle misdrijven
2015JJ00,5197.0,Hilversum,Alle misdrijven
2016JJ00,4976.0,Hilversum,Alle misdrijven
2014JJ00,1098.0,Hof van Twente,Alle misdrijven
2015JJ00,986.0,Hof van Twente,Alle misdrijven
2016JJ00,1035.0,Hof van Twente,Alle misdrijven
2014JJ00,1362.0,Hollands Kroon,Alle misdrijven
2015JJ00,1272.0,Hollands Kroon,Alle misdrijven
2016JJ00,1222.0,Hollands Kroon,Alle misdrijven
2014JJ00,2751.0,Hoogeveen,Alle misdrijven
2015JJ00,2620.0,Hoogeveen,Alle misdrijven
2016JJ00,2510.0,Hoogeveen,Alle misdrijven
2014JJ00,1643.0,Hoogezand-Sappemeer,Alle misdrijven
2015JJ00,1475.0,Hoogezand-Sappemeer,Alle misdrijven
2016JJ00,1407.0,Hoogezand-Sappemeer,Alle misdrijven
2014JJ00,4977.0,Hoorn,Alle misdrijven
2015JJ00,4675.0,Hoorn,Alle misdrijven
